Target_BEMIS_Code,SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Nearest_Progression_BEMIS_Code,Distance_to_Nearest_KM,Progression_School_District
3445,GGMIDS KILLI CHOOHI,QUETTA,Middle,High,Girls,Medium,66.9602635539274,30.2686010586091,27,Found 27 gender-matching High schools within 5.0km,GGHS CHASHMA ACHOOZAI,3404,1.02,QUETTA
3625,GBPS BAJIKI,KHUZDAR,Primary,Middle,Boys,Medium,66.67478,27.7644783333333,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS SORGAZ,3725,2.4,KHUZDAR
3645,GBPS NIAM JO,KHUZDAR,Primary,Middle,Boys,Medium,66.623595,27.7889933333333,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS ZEREEN KATHAN,3628,0.66,KHUZDAR
3678,GBPS CHOHARJI ZEEDI,KHUZDAR,Primary,Middle,Boys,Medium,66.8051991049368,27.6676138938907,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS CHAPOTRHO ZEEDI,3682,2.54,KHUZDAR
3680,GBPS FAIZ ABAD ZEEDI,KHUZDAR,Primary,Middle,Boys,Medium,66.7875220008756,27.6742037211276,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS CHAPOTRHO ZEEDI,3682,3.22,KHUZDAR
3706,GBPS MUHALLAH KOSHAK,KHUZDAR,Primary,Middle,Boys,Medium,66.5998108,27.78717661,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS MUHALLAH GAZGI,3738,1.28,KHUZDAR
3710,GBPS KILLI MANGEL ABAD,KHUZDAR,Primary,Middle,Boys,Medium,66.63185969,27.81357604,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS ZEREEN KATHAN,3628,1.03,KHUZDAR
3882,GBMIDS RAIJ UMRANI,MUSAKHEL,Middle,High,Boys,Medium,70.2388579434517,30.8554692221467,2,Found 2 gender-matching High schools within 5.0km,GBHS KAR KANA,3890,0.82,MUSAKHEL
4011,GBMIDS KILLI SANJAVI,ZIARAT,Middle,High,Boys,Medium,68.3355371275586,30.2813095155203,2,Found 2 gender-matching High schools within 5.0km,GBHS SMALLAN SANJAVI,4020,2.74,ZIARAT
4084,GBPS WAL NAIK MUHAMMAD,DUKI,Primary,Middle,Boys,Medium,69.0159148472831,30.1890557587898,2,Found 2 gender-matching Middle schools within 5.0km,GBMIDS MULLA SHAHO,10263,3.17,DUKI
4115,GBPS SAGHAR HAJI MUHAMMAD KHAN,DUKI,Primary,Middle,Boys,Medium,69.0561813565269,30.0400481010446,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS UMAR KHAN KATAKHAIL,4123,1.61,DUKI
4279,GBMIDS BAWAR,LORALAI,Middle,High,Boys,Medium,68.5780166666666,30.3546749999999,7,Found 7 gender-matching High schools within 5.0km,GBMODHS LORALAI,4174,1.41,LORALAI
4446,GBMIDS CHEENAJAT,DUKI,Middle,High,Boys,Medium,68.6139924046954,30.1507181397223,2,Found 2 gender-matching High schools within 5.0km,GBHS KILLI FAQIR MUHAMMAD NASAR,4412,1.66,DUKI
4521,GBMIDS TORE GHUNDI,SHERANI,Middle,High,Boys,Medium,69.7814440727233,31.6084545850753,0,No gender-matching High schools within 5.0km,,,,
4560,GBMIDS SORE LAKAI BAIK,SHERANI,Middle,High,Boys,Medium,69.8461315633886,31.4760226998786,2,Found 2 gender-matching High schools within 5.0km,GBHS MADRASSA KHUKNKAI,4493,4.66,SHERANI
4574,GBPS KANO KAI,ZHOB,Primary,Middle,Boys,Medium,68.0232246241537,31.6130660036376,0,No Middle schools within 5.0km,,,,
4587,GGPS GUNJ MUHALLAH ,ZHOB,Primary,Middle,Girls,Medium,69.44666697,31.33958351,6,Found 6 gender-matching Middle schools within 5.0km,GGMIDS POLICE LINE,13025,0.24,ZHOB
4590,GGMIDS WAHD SHAIKHAN,ZHOB,Middle,High,Girls,Medium,69.46362073,31.34322782,6,Found 6 gender-matching High schools within 5.0km,GGHS KHOROTABAD ZHOB,8904,0.29,ZHOB
4656,GBPS RAILWAY COLONY,ZHOB,Primary,Middle,Boys,Medium,69.4304366666666,31.348815,7,Found 7 gender-matching Middle schools within 5.0km,GBMIDS HAJI MUHAMMAD ALI [NEW ABADI ],4735,0.45,ZHOB
4735,GBMIDS HAJI MUHAMMAD ALI [NEW ABADI ],ZHOB,Middle,High,Boys,Medium,69.427450941268,31.3566859565683,4,Found 4 gender-matching High schools within 5.0km,GBHS KILLI APPOZAI,4608,0.75,ZHOB
4770,GBPS ZAKRIA ZAI,ZHOB,Primary,Middle,Boys,Standard,69.5511996709268,30.8670669948867,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS SULEMAN ZAI TANG SAR,8909,3.2,ZHOB
4789,GBMIDS MIAN GHUNDI K.BILAL SARIAB,QUETTA,Middle,High,Boys,Standard,66.936494020102,30.0480501507276,2,Found 2 gender-matching High schools within 5.0km,GBHS CHILTAN RAISANI SARIAB,10306,2.53,QUETTA
4919,GGPS DURRANI BAGH USMAN ABAD,QUETTA,Primary,Middle,Girls,Standard,67.0298391530843,30.1607818988793,12,Found 12 gender-matching Middle schools within 5.0km,GGMIDS TARO CHAWAK PASHTOON ABAD,14609,1.53,QUETTA
4999,GBPS RAGHA,QUETTA,Primary,Middle,Boys,Standard,67.0065719661013,30.2878331928231,13,Found 13 gender-matching Middle schools within 5.0km,GBMIDS TAREEN SHEHER,5025,1.97,QUETTA
5058,GBMIDS KILLI ALMAS,QUETTA,Middle,High,Boys,Standard,66.9793011744087,30.2618197578655,19,Found 19 gender-matching High schools within 5.0km,GBHS KILLI GUL MUHAMMAD,4785,0.85,QUETTA
5126,GBMIDS HAJI MEHRAB KHAN KUCHLAK,QUETTA,Middle,High,Boys,Standard,66.9520710423178,30.3494885205724,4,Found 4 gender-matching High schools within 5.0km,GBHS KUCHLAK,5133,0.37,QUETTA
5134,GBHS NASARAN,QUETTA,High,Higher Secondary,Boys,Standard,67.01726295,30.2378715,4,Found 4 gender-matching Higher Secondary schools within 5.0km,GBHSS SANDAMAN,4901,1.95,QUETTA
5138,GBPS ACHKUKZAI COLONY USMAN ABAD,QUETTA,Primary,Middle,Boys,Standard,67.028411046,30.1599788418604,17,Found 17 gender-matching Middle schools within 5.0km,GBMIDS NICHARI QUETTA,4993,1.28,QUETTA
5170,GBMIDS MIAN KHAN ZAI PANJPAI,QUETTA,Middle,High,Boys,Standard,66.5125750409863,29.8410666420763,1,Found 1 gender-matching High schools within 5.0km,GBHS PANJPAI,5168,3.8,QUETTA
5288,GGMIDS BHAND,SOHBAT PUR,Middle,High,Girls,Standard,68.46505632,28.45765973,1,Found 1 gender-matching High schools within 5.0km,GGHS MURAD ALI,5573,4.04,SOHBAT PUR
5330,GBPS CHANDIA,JAFER ABAD,Primary,Middle,Boys,Standard,68.3790123201548,28.3984835746609,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS HAJI ABDUL MAJEED KHOSA,8794,2.56,SOHBAT PUR
5339,GBMIDS MOHIB ALI KHOSA,JAFER ABAD,Middle,High,Boys,Standard,68.3107216666666,28.3653266666666,5,Found 5 gender-matching High schools within 5.0km,GBHS GHULAM RASOOL LEHRI,13297,3.43,JAFER ABAD
5341,GBMIDS ALLAHABAD,JAFER ABAD,Middle,High,Boys,Standard,68.2873064325908,28.3775315688855,2,Found 2 gender-matching High schools within 5.0km,GBHS SHAFI MUHAMMAD UMRANI,7598,3.52,NASEER ABAD
5431,GBPS HAJI ALLAH WARAYA JAMALI,JAFER ABAD,Primary,Middle,Boys,Standard,67.9755566666666,28.1359183333333,4,Found 4 gender-matching Middle schools within 5.0km,GBMIDS ALLAH DINNA RIND,5433,2.15,JAFER ABAD
5452,GBMIDS HABIB KOT,JAFER ABAD,Middle,High,Boys,Standard,68.05728114,28.18847276,4,Found 4 gender-matching High schools within 5.0km,GBHS RUSTAM KHAN JAMALI,5522,1.45,JAFER ABAD
5574,GGPS DUMBRI,SOHBAT PUR,Primary,Middle,Girls,Standard,68.5119720237082,28.4600027251161,2,Found 2 gender-matching Middle schools within 5.0km,GGMIDS DARGAI,5644,1.9,SOHBAT PUR
5602,GBPS JUMA KHAN,SOHBAT PUR,Primary,Middle,Boys,Standard,68.5992506509931,28.4582404572386,2,Found 2 gender-matching Middle schools within 5.0km,GBMIDS GHULAM RASOOL AKBAR KHAN JARWAR,5259,3.39,SOHBAT PUR
5638,GBPS MALGZAR KHOSA,SOHBAT PUR,Primary,Middle,Boys,Standard,68.42412855,28.43137846,5,Found 5 gender-matching Middle schools within 5.0km,GBMIDS AITBAR KHAN KHOSA,5290,0.89,SOHBAT PUR
5644,GGMIDS DARGAI,SOHBAT PUR,Middle,High,Girls,Standard,68.4968309259536,28.4818051926977,2,Found 2 gender-matching High schools within 5.0km,GGHS MURAD ALI,5573,1.78,SOHBAT PUR
6022,GBPS REDEEG MAND,KECH,Primary,Middle,Boys,Standard,61.8473894611124,26.095987296113,0,No Middle schools within 5.0km,,,,
6032,GBMIDS DALAY SAR MAND,KECH,Middle,High,Co-Education,Standard,62.0614533333333,26.1545066666666,4,Found 4 gender-matching High schools within 5.0km,GGHS KOH PUSHT MAND,10837,3.73,KECH
6064,GBMIDS  GINNAH,KECH,Middle,High,Boys,Standard,62.9298089376545,26.0311667189683,2,Found 2 gender-matching High schools within 5.0km,GBHS DEGARI KAHAN,5973,1.88,KECH
6229,GBPS PATHER COLONY.,LASBELA,Primary,Middle,Boys,Standard,66.8516383333333,25.05222,0,No gender-matching Middle schools within 5.0km,,,,
6240,GBPS HAJI IBRAHIM SHEIKH.,LASBELA,Primary,Middle,Boys,Standard,66.9156888359028,25.0402352278597,2,Found 2 gender-matching Middle schools within 5.0km,GBMIDS GOTH HAJI MUHAMMAD SHEIKH,6227,0.44,LASBELA
6264,GBPS GOTH HASHOO KHAN.,LASBELA,Primary,Middle,Boys,Standard,66.9706301386506,25.0785378072847,2,Found 2 gender-matching Middle schools within 5.0km,GBMIDS KOLWAI,6239,2.67,LASBELA
6403,GGMIDS MADAN WALA,LASBELA,Middle,High,Girls,Standard,66.30614738,26.22275547,6,Found 6 gender-matching High schools within 5.0km,GGHS BELA,6421,0.67,LASBELA
6572,GBPS WINGOIE,LASBELA,Primary,Middle,Boys,Standard,66.628765,25.5935716666666,0,No Middle schools within 5.0km,,,,
6640,GBPS GOMAZGI,NOSHKI,Primary,Middle,Boys,Standard,65.9249935212531,29.3850682270653,0,No gender-matching Middle schools within 5.0km,,,,
6667,GBPS MEHMOOD ZAI,NOSHKI,Primary,Middle,Boys,Standard,65.7600266666666,29.7118349999999,0,No Middle schools within 5.0km,,,,
6684,GBMIDS SAR MAL,NOSHKI,Middle,High,Boys,Standard,65.8126433333333,29.2759616666666,0,No High schools within 5.0km,,,,
6717,GBPS REHMAN ZAI,NOSHKI,Primary,Middle,Boys,Standard,65.685725,29.1801083333333,0,No Middle schools within 5.0km,,,,
6887,GBPS ABDUL SATTAR GOTH,AWARAN,Primary,Middle,Boys,Standard,65.68481677,26.45421655,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS GAJRO,6890,4.6,AWARAN
6893,GBMIDS HAJI SHAHER,AWARAN,Middle,High,Boys,Standard,65.54875046,26.30252653,0,No High schools within 5.0km,,,,
6899,GBMIDS BAZAG,AWARAN,Middle,High,Boys,Standard,65.59841006,26.3296969,1,Found 1 gender-matching High schools within 5.0km,GBHS CAMP JHAO,8466,3.02,AWARAN
6953,GBHS NOKJO,AWARAN,High,Higher Secondary,Boys,Standard,65.7029133333333,27.2264666666666,0,No Higher Secondary schools within 5.0km,,,,
6973,GBMIDS NONDRA PAILAR,AWARAN,Middle,High,Boys,Standard,65.75478533,26.88445827,1,Found 1 gender-matching High schools within 5.0km,GBHS PILLAR JHAOO,6972,3.18,AWARAN
7039,GBMIDS SUIMAN,BARKHAN,Middle,High,Boys,Standard,69.5386938471347,29.8436185112223,2,Found 2 gender-matching High schools within 5.0km,GBMODHS BARKHAN,7682,2.61,BARKHAN
7046,GBMIDS TOTA DHAMANI,BARKHAN,Middle,High,Boys,Standard,69.4762000534683,29.8413524217903,1,Found 1 gender-matching High schools within 5.0km,GBHS LOHMA ZAREEN,7034,2.51,BARKHAN
7066,GBPS DEH GHULAM MUHAMMAD,BARKHAN,Primary,Middle,Boys,Standard,69.9290204788422,30.1037858537724,0,No gender-matching Middle schools within 5.0km,,,,
7098,GBPS TAJ MUHAMMAD LUNDI,BARKHAN,Primary,Middle,Boys,Standard,69.8238624349225,30.1718711294592,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS TAGHAO,7091,2.61,BARKHAN
7113,GBMIDS HAJI ZAREEN LOOP,BARKHAN,Middle,High,Boys,Standard,69.889413575877,30.3217436858404,3,Found 3 gender-matching High schools within 5.0km,GBHS BASTI AMIR MUHAMMAD,7094,1.18,BARKHAN
7152,GBPS QAZI MIR WAH,SIBI,Primary,Middle,Boys,Standard,68.2254439617658,29.1577581625422,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS MUHALLAH ARAIN,7164,1.7,SIBI
7159,GBPS HINDO MUHALLAH LEHRI,SIBI,Primary,Middle,Boys,Standard,68.2095526988326,29.1821482373657,2,Found 2 gender-matching Middle schools within 5.0km,GBMIDS MUHALLAH ARAIN,7164,0.37,SIBI
7205,GBPS HINDO MUHALLAH BAKHTIAR ABAD DOMKI,SIBI,Primary,Middle,Boys,Standard,68.012023127104,28.9901912883363,0,No Middle schools within 5.0km,,,,
7241,GBMIDS BASTI GOYA,KACHHI,Middle,High,Boys,Standard,67.813495870064,29.0408126912303,3,Found 3 gender-matching High schools within 5.0km,GBHS BHAG,7212,0.96,KACHHI
7261,GBPS KHAIR WAH,SIBI,Primary,Middle,Boys,Standard,68.080075,29.1621716666666,0,No gender-matching Middle schools within 5.0km,,,,
7433,GBPS MUHAMMAD SIDDIQ BANGULZAI,NASEER ABAD,Primary,Middle,Boys,Standard,68.2378243952516,28.5738438546108,4,Found 4 gender-matching Middle schools within 5.0km,GBMIDS TAJ-UL-ALOOM,7605,2.43,NASEER ABAD
7441,GBMIDS AFZAL ABAD,NASEER ABAD,Middle,High,Boys,Standard,68.0841838085461,28.4700855326632,3,Found 3 gender-matching High schools within 5.0km,GBHS BEHRAM KHAN BULADI,7461,4.19,NASEER ABAD
7460,GBMIDS SHER MUHAMMAD NICHARI,NASEER ABAD,Middle,High,Boys,Standard,68.1056424545066,28.4670284008487,4,Found 4 gender-matching High schools within 5.0km,GBHS MIR GUL JATAK,7450,2.54,NASEER ABAD
7462,GBMIDS DILMURAD GOLA (SODHA GOLA),NASEER ABAD,Middle,High,Boys,Standard,68.0409305205184,28.3972210122881,3,Found 3 gender-matching High schools within 5.0km,GBHS YAR MUHAMMAD LEHRI,15650,2.63,NASEER ABAD
7470,GBPS DAD MUHAMMAD ZEHRI,NASEER ABAD,Primary,Middle,Boys,Standard,68.079841475854,28.3969612680612,7,Found 7 gender-matching Middle schools within 5.0km,GBMIDS WADERA SHAKAR KHAN,7466,1.51,NASEER ABAD
7495,GBPS ATTAULLAH BULADI.,NASEER ABAD,Primary,Middle,Boys,Standard,68.0708817247422,28.3486438181792,4,Found 4 gender-matching Middle schools within 5.0km,GBMIDS LUTAF ALI JAMALI,5405,2.21,JAFER ABAD
7505,GBPS SOBDAR KHOSA,NASEER ABAD,Primary,Middle,Boys,Standard,68.1475778681096,28.4930233176162,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS GOTH MUHAMMAD SALEH SASOLI,14182,2.14,NASEER ABAD
7518,GBPS HAJI MANDO,NASEER ABAD,Primary,Middle,Boys,Standard,67.9979474976879,28.4368668780606,0,No gender-matching Middle schools within 5.0km,,,,
7547,GBMIDS ALHINDA KHAN USMANI,NASEER ABAD,Middle,High,Boys,Standard,68.3919653750923,28.5342186410102,6,Found 6 gender-matching High schools within 5.0km,GBHS IMDAD HUSSAIN KHOSA,7559,2.08,NASEER ABAD
7551,GBPS MIR SHEHZADA KHAN UMRANI,NASEER ABAD,Primary,Middle,Boys,Standard,68.3353841843907,28.5167096389656,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS ABDUL RAZAQUE UMARANI.,7552,2.73,NASEER ABAD
7588,GBPS SHARBAT KHAN JATTAK,NASEER ABAD,Primary,Middle,Boys,Standard,67.9841921237804,28.2581643756347,4,Found 4 gender-matching Middle schools within 5.0km,GBMIDS FAIZ ABAD JAMALI,5380,2.37,JAFER ABAD
7589,GBPS JUMA KHAN UMRANI,NASEER ABAD,Primary,Middle,Boys,Standard,67.9895463801026,28.2978512910556,2,Found 2 gender-matching Middle schools within 5.0km,GBMIDS QABOLA KARAM KHAN,7474,2.67,NASEER ABAD
7626,GBMIDS REHMATULLAH LEHRI,NASEER ABAD,Middle,High,Boys,Standard,68.2305110666901,28.4664019349813,5,Found 5 gender-matching High schools within 5.0km,GBHS ABDUL MAJEED LEHRI,7602,2.62,NASEER ABAD
7676,GBPS MUHAMMAD KHAN CHOTI,BARKHAN,Primary,Middle,Boys,Standard,69.6073803083024,29.9730642052667,0,No gender-matching Middle schools within 5.0km,,,,
7750,GBPS MIR MUHAMMAD KARAMDANI,BARKHAN,Primary,Middle,Boys,Standard,69.7302416666666,30.0824983333333,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS GALAH JAHANANI,7710,3.33,BARKHAN
7806,GBPS MASOO,KACHHI,Primary,Middle,Boys,Standard,67.7789776069077,29.1810598190219,1,Found 1 gender-matching Middle schools within 5.0km,GBMIDS BASHKIA,7979,1.49,KACHHI
